Date,Narrative,Debit Amount,Credit Amount,Categories
2020-01-01,TOURIST CAFE COOMA AU,-69.5,,DinnerBars
2020-01-01,Transfer to xx2105 NetBank Vicky,,,Business
2020-01-01,DEFT RENT NetBank BPAY 4481 34432039 Rent Manly,,,Business
2020-01-01,ALDI STORES - MANLY MANLY AU,-1.89,,Groceries
2020-01-01,CALTEX BEGA BEGA AU,-98.24,,Transport
2020-01-01,BUPA HI P T PHI MELBOURNE AU,,,
2020-01-01,Guzman y Gomez Manly Manly AU,-28.3,,DinnerBars
2020-01-01,METRO MILPERRA MILPERRA AU,-91.65,,Transport
2020-01-02,Transfer from xx2105 NetBank Vicky Ausgaben Dez,,,Business
2020-01-02,MBarber Thanks You Manly AU,-28.0,,Shopping
2020-01-02,ALDI STORES - MANLY MANLY AU,-51.33,,Groceries
2020-01-02,HUMPHREYS NEWSAGENCY MANLY AU,-24.99,,Shopping
2020-01-02,COLES 0815 MANLY AU,-4.42,,Groceries
2020-01-03,Fika Swedish Kitchen Manly AU,-17.17,,DinnerBars
2020-01-03,IVANHOE HOTEL MANLY AU,-39.99,,DinnerBars
2020-01-04,LINKT SYDNEY SYDNEY AU,-10.8,,Transport
2020-01-04,4 PINES BREWING COMPAN MANLY AU,-140.0,,DinnerBars
2020-01-05,LINKT SYDNEY SYDNEY AU,-8.44,,Transport
2020-01-05,MY FAST FERRY PYRMONT AU,-9.9,,Business
2020-01-05,BRIDGE BAR SYDNEY AIRP SYDNEY AU,-12.0,,DinnerBars
2020-01-05,COMFORT/CITYCAB TAXI SINGAPORE SG SGD 26.19 SGD 26.19,-28.98,,Business
2020-01-05,ALDI STORES - MANLY MANLY AU,-20.0,,Groceries
2020-01-06,NSW RENTAL BONDS NetBank BPAY 209999 40100082884586 rental bond,,,Business
2020-01-06,WOLFGANG PUCK BISTRO MASCOT AU,-11.11,,DinnerBars
2020-01-06,PIER B PHARMACY MASCOT AU,-14.98,,Groceries
2020-01-06,BUS/MRT 23182407 SINGAPORE SG SGD 3.12 SGD 3.12,-3.48,,Transport
2020-01-06,KAZBAR PTE. LTD. SINGAPORE SG SGD 189.50 SGD 189.50,-211.61,,DinnerBars
2020-01-06,TRANSPORTFORNSW TAP SYDNEY AU,-17.67,,Transport
2020-01-06,KAISEN ICHI SINGAPORE SG SGD 12.84 SGD 12.84,-14.2,,DinnerBars
2020-01-07,BPAY PAYMENTS,,,
2020-01-07,HAAKON SINGAPORE SG SGD 15.80 SGD 15.80,-17.64,,DinnerBars
2020-01-07,HEYTEA MBS SINGAPORE 018SG SGD 7.90 SGD 7.90,-8.82,,DinnerBars
2020-01-07,DING TAI FUNG-MBS SINGAPORE SG SGD 58.08 SGD 58.08,-64.91,,DinnerBars
2020-01-07,FULLERTON HOTEL - L H SINGAPORE SG SGD 47.15 SGD 47.15,-52.69,,DinnerBars
2020-01-07,BUS/MRT 23278295 SINGAPORE SG SGD 1.42 SGD 1.42,-1.59,,Transport
2020-01-07,BUS/MRT 23264408 SINGAPORE SG SGD 3.26 SGD 3.26,-3.63,,Transport
2020-01-07,COMFORT/CITYCAB TAXI SINGAPORE SG SGD 29.89 SGD 29.89,-33.37,,Business
2020-01-07,COTTON ON 7913 SUNTEC SINGAPORE 038SG SGD 39.99 SGD 39.99,,,
2020-01-07,TRANSPORTFORNSW TAP SYDNEY AU,-25.0,,Business
2020-01-07,CITIBANK CREDITCARDS NetBank BPAY 49502 4147263113320030,,,Business
2020-01-07,GUARDIAN MARINA BAY SANDSSINGAPORE SG SGD 1.00 SGD 1.00,-1.11,,Groceries
2020-01-08,CEDELE -RAFFLES CITY SINGAPORE SG SGD 9.50 SGD 9.50,-10.61,,DinnerBars
2020-01-08,SALADSTOP! DUO SINGAPORE SG SGD 11.20 SGD 11.20,-12.52,,DinnerBars
2020-01-08,PRIVE SOMERSET SINGAPORE SG SGD 39.40 SGD 39.40,-44.01,,DinnerBars
2020-01-08,BUS/MRT 23460611 SINGAPORE SG SGD 6.62 SGD 6.62,-7.4,,Transport
2020-01-08,TIONG BAHRU BAKERY SINGAPORE SG SGD 6.12 SGD 6.12,-6.84,,DinnerBars
2020-01-08,Direct Debit 494894 OPTUS BILLING 62188084370,,,Business
